run_id,task,level,variant,n_demos,dataset_id,slurm_jobid,status,sr_40k,sr_60k,sr_80k,sr_best,eval_set,eval_n,gpu_h,notes
g4_smoke_L0_n25,cup_place,L0,-,25,cog/L0,local,done,,,0.80,0.80,smoke,20,0.5,"G4 pipeline validation only - NOT a study cell: 5k-step smoke on L0/N=25 with a reduced 20-episode protocol, so its SR is not comparable to the frozen 100-episode benchmark. Row realigned 2026-08-20: it had been written with sr_best omitted instead of empty, shifting every later field one column left (gpu_h held this sentence, eval_n held 0.5, and sr_80k held a non-numeric string)."
g5a_batch_lr_sweep,cup_place,L0,-,25,cog/L0,52878355,done,,,,,-,-,0.29,"G5a batch/LR sweep 64/128/256 x 200 steps; decided batch=64 lr=1e-4; GPU util 0% (decode-bound); 2.34 core-h @ billing=8, 17m34s"
g5a_dataloader_nw,cup_place,L0,-,25,cog/L0,52885440,cancelled,,,,,-,-,0.42,INVALID: --num_workers overridden by COG_DP_FLAGS (draccus last-flag-wins) so all arms ran at 8; cancelled. 3.4 core-h @ billing=32. Confirms run-to-run variance <1%
g5a_dataloader_ab,cup_place,L0,-,25,cog/L0,52885440+52894292+52896093,done,,,,,-,-,0.9,G5a decode A/B: pyav data_s 0.388 vs torchcodec 0.003 (129x); 13.89 steps/s -> 1.6 h per 80k run; loss identical (0.266) across backends
g5a_framecheck,cup_place,L0,-,25,cog/L0,52894432+52896091,done,,,,,-,-,0.1,"pyav vs torchcodec frame equality: 40 fetches, 0 mismatched, max abs pixel diff 0.0 (BACKENDS_IDENTICAL); torchcodec 0.7.0 rejected (broken custom ops), 0.5 accepted"
t1_L0_n25_s0_sharedenc,cup_place,L0,shared_rgb_encoder,25,cog/L0,52899856,superseded,0.97,0.95,0.98,0.98,L0,100,2.0,"SUPERSEDED 2026-08-19 by the switch to use_separate_rgb_encoder_per_camera=true (D26): this run used ONE encoder shared across both cameras, so it is off-architecture for the study and its SRs are NOT comparable to the matrix. Kept as evidence (checkpoints renamed to t1_L0_n25_s0_sharedenc on $WORK, not deleted) because it is what discharged D24 and showed L0 saturating at N=25. G5a calibration AND (then) real study cell (L0/N=25). batch=64 lr=1e-4 torchcodec 80k steps. MEASURED 11.2 steps/s at 8 cores (20k ckpt in 1779s) -> ~2.0 h / ~2.0 GPU-h per cell. Config verified from ckpt: steps=80000 batch=64 seed=0 adam lr=1e-4 pretrained_backbone_weights=None. COMPLETED 02:00:04 = 2.0 GPU-h exactly; loss 0.579->0.004 monotone; ckpts 20/40/60/80k present"
g5a_resume,cup_place,L0,-,25,cog/L0,52899246,done,,,,,-,-,0.1,"G5A_RESUME_PASSED: SIGKILLed at step 200, resumed at 225 (not 0), finished at 400; validates the config_path resume fix"
t1_L0_n10_s0,cup_place,L0,-,10,local/L0,53008600,done,,,0.85,0.85,L0,100,2.5,"launched by launch_matrix.py | eval 080000 only (D24); 85/100 successes; Wilson95 [0.767,0.907]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L0_n25_s0,cup_place,L0,-,25,local/L0,53008611,done,,,0.97,0.97,L0,100,2.1,"launched by launch_matrix.py | eval 080000 only (D24); 97/100 successes; Wilson95 [0.915,0.990]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L0_n50_s0,cup_place,L0,-,50,local/L0,53008618,done,,,1.0,1.0,L0,100,2.0,"launched by launch_matrix.py | eval 080000 only (D24); 100/100 successes; Wilson95 [0.963,1.000]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
